#,Nation,Corrupción 2021[6],,Corrupción 2020[17],,Corrupción 2019[18],,Corrupción 2018[19],,Corrupción 2017[20],,Corrupción 2016[21],,Corrupción 2015[22],,Corrupción 2014[23],,Corrupción 2013[24],
,,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ
96,Serbia,38,,38,1,39,,39,2,41,1,42,2,40,1,41,1,42,3
23,Seychelles,70,4,66,,66,,66,6,60,5,,,55,,55,1,54,2
115,Sierra Leone,34,1,33,,33,3,30,,30,,30,1,29,2,31,1,30,1
4,Singapore,85,,85,,85,,85,1,84,,84,1,85,1,84,2,86,1
56,Slovakia,52,2,49,1,50,,50,,50,1,51,,51,1,50,3,47,1
41,Slovenia,57,3,60,,60,,60,1,61,,61,1,60,2,58,1,57,4
73,Solomon Islands,43,1,42,,42,2,44,5,39,3,42,,,,,,,
178,Somalia,13,1,12,3,9,1,10,1,9,1,10,2,8,,8,,8,
70,South Africa,44,,44,,44,1,43,,43,2,45,1,44,,44,2,42,1
32,South Korea,62,1,61,2,59,2,57,3,54,1,53,3,56,1,55,,55,1
180,South Sudan,11,1,12,,12,1,13,1,12,1,11,4,15,,15,1,14,
34,Spain,61,1,62,,62,4,58,1,57,1,58,,58,2,60,1,59,6
102,Sri Lanka,37,1,38,,38,,38,,38,2,36,1,37,1,38,1,37,3
164,Sudan,20,2,16,,16,,16,,16,2,14,2,12,1,11,,11,2
87,Suriname,39,1,38,6,44,1,43,2,41,4,45,9,36,,36,,36,1
4,Sweden,85,,85,,85,,85,1,84,4,88,1,89,2,87,2,89,1
7,Switzerland,84,1,85,,85,,85,,85,1,86,,86,,86,1,85,1
178,Syria,13,1,14,1,13,,13,1,14,1,13,5,18,2,20,3,17,9
25,Taiwan,68,2,65,,65,2,63,,63,2,61,1,62,1,61,,61,
150,Tajikistan,25,,25,,25,,25,4,21,4,25,1,26,3,23,1,22,
87,Tanzania,39,1,38,1,37,1,36,,36,4,32,2,30,1,31,2,33,2
110,Thailand,35,1,36,,36,,36,1,37,2,35,3,38,,38,3,35,2
82,Timor-Oriental,41,1,40,2,38,3,35,3,38,3,35,7,28,,28,2,30,3
128,Togo,30,1,29,,29,1,30,2,32,,32,,32,3,29,,29,1
82,Trinidad and Tobago,41,1,40,,40,1,41,,41,6,35,4,39,1,38,,38,1
70,Tunisia,44,,44,1,43,,43,1,42,1,41,3,38,2,40,1,41,
96,Turkey,38,2,40,1,39,2,41,1,40,1,41,1,42,3,45,5,50,1
169,Turkmenistan,19,,19,,19,1,20,1,19,3,22,4,18,1,17,,17,
144,Uganda,27,,27,1,28,2,26,,26,1,25,,25,1,26,,26,3
122,Ukraine,32,1,33,3,30,2,32,2,30,1,29,2,27,1,26,1,25,1
24,United Arab Emirates,69,2,71,,71,1,70,1,71,5,66,4,70,,70,1,69,1
11,United Kingdom,78,1,77,,77,3,80,2,82,1,81,,81,3,78,2,76,2
27,United States of America,67,,67,2,69,2,71,4,75,1,74,2,76,2,74,1,73,
18,Uruguay,73,2,71,,71,1,70,,70,1,71,3,74,1,73,,73,1
140,Uzbekistan,28,2,26,1,25,2,23,1,22,1,21,2,19,1,18,1,17,
66,Vanuatu,45,2,43,3,46,,46,3,43,,,,,,,,,
177,Venezuela,14,1,15,1,16,2,18,,18,1,17,,17,2,19,1,20,1
87,Vietnam,39,3,36,1,37,4,33,2,35,2,33,2,31,,31,,31,
174,Yemen,16,1,15,,15,1,14,2,16,2,14,4,18,1,19,1,18,5
117,Zambia,33,,33,1,34,1,35,2,37,1,38,,38,,38,,38,1
157,Zimbabwe,23,1,24,,24,2,22,,22,,22,1,21,,21,,21,1
